sample;C14:0_ugL;C16:1_ugL;C16:0_ugL;C18:3nx_ugL;C18:2_ugL;C18:x_ugL;C18:1_ugL;C18:0_ugL;C20:3nx_ugL;C20:4_ugL;C22:6_ugL;C22:2_ugL;brassicasterol_ugL;cholesterol_ugL;diplopterol_ugL;ergosterol_ugL;sitosterol_ugL;stigmasterol_ugL;phytol_ugL
ROT-190130A;0.673483395;1.684699228;2.327946689;0;0.803747427;0.448695377;0.868549197;0.377508835;0.415964246;0;0;0;0.272461515;0.168836362;0.039851044;0.027116641;0.141568523;0.036115897;1.188649037
ROT-190213A;1.260860606;2.536156774;5.168324329;1.432943942;1.39446102;4.2317279;0;0.486592789;0;0.882463071;0.509746859;0;0.320357659;0.286762784;0;0.074011414;0.416929392;0.038177914;1.582482032
ROT-190313A;2.328912812;0.658718495;3.525429947;0;0;0.961464657;0;0.510739028;0;0;0;0;0.172840852;0.259918248;0;0.084467546;0.685099898;0.106123958;2.070435907
ROT-190327A;11.59228569;7.270514876;11.80436377;10.04988671;4.150054874;11.12507741;0;2.341917362;0.87741217;7.395864077;3.821957913;0;0.42210258;1.231692612;0.04114815;0.19496207;3.185332747;1.305176384;11.90189485
ROT-190410A;1.491445517;0.631022998;2.486300339;0;0;0.43453429;0;0.53793839;0;0;0;0;0.07106376;0.197579709;0;0;0.175543251;0.10324496;0.291469435
ROT-190424A;1.592247604;0;8.39492414;0;0;0;0;2.2129793;0;0;0;0;0;0.137822648;0;0;0.045814551;0.033259363;0.129517064
ROT-190508A;0.394436728;0;2.466559037;0;0;0;0;0.888098742;0;0;0;0;0.14411919;0.184873146;0;0.028128034;0.063243197;0.078590168;0.363230956
ROT-190522A;0.623501425;0.891793255;3.349179667;0.359802608;0.476774651;2.515198459;0.585509225;0.490928118;0;0;0;0;0.330450907;0.330450907;0;0.112531931;0.294726485;0.098242162;#NV
ROT-190604A;0.514673726;0.322646943;1.384154221;0.10003337;0.213991012;0.462938355;0.570953421;0.434915029;0;0;0;0;0.099081009;0.228271933;0.0163357;0.068796662;0.235239541;0.206664589;0.305178222
ROT-190619A;4.538835659;0;9.033839276;0;0;0.208757034;0;1.821249074;0;0;0;0;0.325869271;0.386538932;0;0.033484149;0.826362466;0.24743374;1.72578448
ROT-190717A;0.713181165;0;4.180969551;0.383775112;1.285707156;2.76963025;0;1.006322837;0;0;0;0;0.157414567;0.134631023;0;0.055028036;0.120288346;0.140956798;0.477360257
ROT-190729A;1.0793541;0.862975592;5.307125963;0.980260923;1.594563409;3.189549892;0;1.001884671;0;0;0.333240766;0;0.215796243;0.26012737;0.036752146;0;0.149423495;0.278514668;1.572936672
ROT-190814A;0.715328038;0;3.57389509;0.58893893;0.348284918;1.462682276;0.166764995;1.561963494;0;0;0;0;0.162130198;0.454153481;0;0.499486892;0.229964321;0.2347487;1.491152723
ROT-190911A;4.332427278;1.843628391;11.35014803;1.137600258;2.936281506;7.061076849;0;2.398109076;0;0;0;0;0.306171684;0.475844822;0;0.136900058;0.291821623;0.116628271;1.431743529
ROT-190925A;0.835005585;0.530186529;2.107402324;0.454758455;0.539252158;1.842563712;0.08719302;0.378668285;0;0;0;0;0;0.232839512;0;0;0.164551191;0.090541002;0.975217315
ROT-191009A;0.242894214;0.179241739;0.877397594;0.066870163;0.110845236;0.340291163;0.100078356;0.349861723;0;0;0;0;0.131478372;0.202691715;0.024322456;0.053191964;0.133568975;0.090654423;0.446644591
ROT-191023A;0.287570447;0.260571584;0.995601847;0.282761744;0.25491134;1.224315774;0;0;0;0;0;0;0.034891306;0.213304152;0.027172412;0.098588088;0.127303386;0.062228574;1.064174022
ROT-191106A;0.093493783;0.500400134;0.681984923;0.127196826;0.063598413;0.239265874;0.065862434;0.385243785;0;0;0;0;0.088360699;0.111569712;0.057528049;0;0.054080341;0;0.337639687
ROT-191120A;0.410595071;3.499028517;0.776451631;0;0;0;0;0;0;0;0;0;0.108947428;0.14688942;0.149268777;0;0.099772686;0.035648832;0.525497301
ROT-191204A;0.33637112;5.201478234;1.086071178;0.411812134;0.34044254;0.562295001;0;0.119268649;0;0;0;0;0.068242727;0.118905283;0.153530207;0;0.134642969;0.037584838;0.436187511
ROT-191218A;0;0.254450561;0.515803771;0;0;0;0;0;0;0;0;0;0.03255561;0.096138171;0.047679997;0;0.104807044;0;0.559052925
ROT-200107A;0.57009629;1.022407267;2.572254479;3.052666764;0.874551151;2.863883614;0.161738643;0.258484002;0;1.135052683;0.583738635;0;0.391345053;0.410546765;0.087243941;0.048541394;0.381858005;0.059706984;2.243310233
ROT-200121A;0.703088433;0.900555028;4.252526081;1.208140968;0.836467846;1.547526512;0.185755232;0.271313246;0;0.615741183;0;0;0.098368207;0.506774218;0.057453824;0;0.3184926;0.04925593;3.262400468
ROT-200206A;1.919172867;4.361888407;3.73188622;2.724523078;1.042232635;1.846182063;0.182652107;0.361652173;0;6.075296246;0.243135919;0;0.461196417;0.817446604;0.135669036;0.165528524;0.644696036;0.128475378;3.059635221
ROT-190130B;0.189772438;0.548273057;0.689573555;0.17981149;0.144644197;0.381088122;0.176608086;0.2097411;0;0.160497538;0;0;0.120675099;0.112946194;0.023664519;0;0.087765753;0.029758642;0.525219939
ROT-190213B;2.434139041;4.278093014;8.169654028;3.396737303;2.126330075;3.883954923;0;0.751814486;0;2.269895029;0.265262398;0;0.825545063;0.656152509;0.022784318;0.167084998;0.838763104;0.064880417;3.014452629
ROT-190313B;6.613615562;1.043344616;9.31099476;0;0;2.604216994;0;2.413567839;0;0;0;1.075960398;0.70294021;1.07937613;0;0.332343434;3.473350877;0.519101029;8.10480437
ROT-190410B;1.160194899;0.714570824;2.42134827;0.291786535;0.349382515;0.55626463;0.092228047;0.457581861;0;0.11891584;0;0;0.130212351;0.358045608;0.056736152;0.02943357;0.1997595;0.103741961;0.827550764
ROT-190424B;0.48283568;0.447829212;2.253092301;0.565808755;0.288574439;0.830857721;0.095792345;0.41796454;0;0.144745051;0;0;0.233482633;0.252221705;0;0;0.108688958;0;0.715478992
ROT-190508B;0.04988732;0.126597618;0.993389808;0.039764636;0.03617685;0.159485663;0.036475832;0.435446259;0;0;0;0;0.161060873;0.274143315;0;0;0.071198549;0.042606933;0.285855238
ROT-190522B;0.56612163;0.887416643;2.204808321;0.812134511;0.270468168;1.110981761;0.20148236;0.324306298;0;0.548875178;0;0;0;0.304610524;0;0;0.178799998;0.073477701;1.607579953
ROT-190604B;0.466696939;0.432388996;1.214508963;0.164460298;0.270807142;0.781030826;0.101679096;0.407183161;0;0;0;0;0.118830376;0.221573631;0.024920582;0.025611803;0.402880234;0.151186918;0.569490475
ROT-190619B;1.752908173;0.957979907;5.743211904;2.003284571;1.08446697;3.546626982;0.077144609;0.825498128;0;0.758744758;0;0;0;0.25698111;0;0;0.297462366;0.12887214;1.701519467
ROT-190717B;1.593738209;20.34977764;8.176928458;0.847931597;2.633957449;8.226945699;12.52196332;0.811270353;0;0.827258837;0.124268841;0;0.143035158;0.33000481;0.069540866;0.066411712;0.113923189;0.087447608;6.961856307
ROT-190729B;2.90259669;12.6083731;6.092982896;0.196908616;2.387716027;4.77295079;3.067915491;0.854998913;0;0.290233745;0;0;0.033939809;0.081266342;0.04324735;0.008767828;0.045987469;0.02917278;2.705791176
