sample;C18_C16_FA_ratio;phytol_sterol_ratio
ROT-190130A;0.476741117;0.713512666
ROT-190213A;0.577318142;0.650702753
ROT-190227A;0.327874245;0.58271889
ROT-190313A;0.214282871;0.66382079
ROT-190327A;0.682074872;0.699721732
ROT-190410A;0.14877059;0.454482623
ROT-190424A;0;0.620914028
ROT-190508A;0;0.536283427
ROT-190522A;0.54035601;#NV
ROT-190604A;0.493368021;0.333542684
ROT-190619A;0.022586406;0.546318607
ROT-190717A;0.514973347;0.50193077
ROT-190729A;0.520649788;0.709594079
ROT-190814A;0.417986067;0.56968959
ROT-190911A;0.495214845;0.627059682
ROT-190925A;0.581130738;0.792660147
ROT-191009A;0.413301335;0.522062633
ROT-191023A;0.638959529;0.767146223
ROT-191106A;0.421020444;0.703297734
ROT-191120A;0;0.682582595
ROT-191204A;0.547587377;0.644620299
ROT-191218A;0;0.802757639
ROT-200107A;0.72994972;0.717914027
ROT-200121A;0.47044764;0.87498603
ROT-200206A;0.608302747;0.686088924
ROT-190130B;0.561263352;0.687983455
ROT-190213B;0.535199154;0.613850681
ROT-190313B;0.218562376;0.617154368
ROT-190327B;#NV;#NV
ROT-190410B;0.347523108;0.641165223
ROT-190424B;0.441491776;0.676479552
ROT-190508B;0.21489333;0.509798877
ROT-190522B;0.520680831;0.864356448
ROT-190604B;0.520428225;0.449125049
ROT-190619B;0.538873217;0.799641089
ROT-190717B;0.747685835;0.944278335
ROT-190729B;0.631141293;0.95825704
ROT-190814B;0.532970335;0.592669548
ROT-190911B;0.796644519;0.941811594
ROT-190925B;0.798578347;0.938023343
ROT-191009B;0.690043789;0.926141284
ROT-191023B;0.649162395;0.774502457
ROT-191106B;0.674798882;0.933584398
ROT-191120B;0.679238347;0.959737685
ROT-191204B;0.598989585;#NV
ROT-191218B;0.682044271;0.929126533
ROT-200107B;0.715438054;0.786278595
ROT-200121B;0.485273362;0.805363174
ROT-200206B;0.619074596;0.676437069
