sample;brassicasterol_relAlcohols;diplopterol_relAlcohols;ergosterol_relAlcohols;sitosterol_relAlcohols;stigmasterol_relAlcohols;phytol_relAlcohols;C14:0_relFA;C16:1_relFA;C16:0_relFA;C18:3nx_relFA;C18:2_relFA;C18:x_relFA;C18:1_relFA;C18:0_frelFA;C20:3nx_relFA;C20:4_relFA;C22:6_relFA;cyanobacteria_relBio
ROT-190227A;9.486643476;1.038256389;2.270548732;26.50757064;3.030103399;57.66687736;21.26053422;2.436987769;51.28486065;0;1.028564258;21.67273219;2.316320916;0;0;0;0;0
ROT-190313A;5.541603603;0;2.708188787;21.96559447;3.402534188;66.38207895;29.16512889;8.249175194;44.14919197;0;0;12.04048538;0;6.396018565;0;0;0;0
ROT-190327A;2.475585402;0.241329391;1.143431188;18.6816277;7.654716547;69.80330978;16.45945644;10.32313437;16.76057824;14.26946134;5.89250897;15.79608473;0;3.32520159;1.245804992;10.50111306;5.426656267;0
ROT-190604A;10.63904908;1.754082966;7.387198323;25.25938166;22.19108109;32.76920688;12.85300665;8.057499527;34.56664387;2.498144942;5.344022348;11.56101323;14.25848598;10.86118345;0;0;0;0
ROT-191218A;4.375191985;6.407778592;0;14.08515887;0;75.13187056;0;33.03461606;66.96538394;0;0;0;0;0;0;0;0;0
ROT-190130B;15.33192218;3.006606736;0;11.15074863;3.780872665;66.72984979;7.081035807;20.45787674;25.73026454;6.70935995;5.39715223;14.2196552;6.58983039;7.826132477;0;5.988692678;0;0
ROT-190313B;5.35265999;0;2.530686646;26.4484319;3.952784702;61.71543677;30.08138744;4.745551558;42.3501545;0;0;11.84502783;0;10.97787868;0;0;0;0
ROT-190410B;9.663725439;4.21068039;2.184415971;14.82517555;7.699222231;61.41678042;18.82738431;11.59589611;39.29310021;4.735046867;5.669701609;9.026938469;1.496656192;7.425536486;0;1.929739747;0;0
ROT-190604B;9.190850194;1.927464548;1.980926532;31.16048271;11.69344373;44.04683229;12.15750649;11.2637808;31.63809176;4.28420882;7.054555772;20.34593872;2.648751621;10.60716602;0;0;0;0
ROT-200206B;8.150620518;5.486975608;3.818017661;15.0340074;3.578265563;63.93211325;9.190364078;18.79699248;16.53629022;11.79536142;4.793730358;9.179152788;1.106301106;1.866498859;0;19.40529535;7.330013345;0
ROT-190213A;13.17282638;0;3.043284526;17.14377146;1.569842388;65.07027525;7.042624574;14.16587998;28.86803486;8.003808011;7.788858974;23.63661039;0;2.71789785;0;4.929058835;2.847226519;0.003349065
ROT-190213B;16.73342052;0.461827693;3.386736418;17.00134416;1.315096362;61.10157485;8.827058337;15.51389464;29.62608606;12.31778375;7.710832989;14.08460902;0;2.72634809;0;8.231450834;0.961936285;0.004861244
ROT-200206A;10.03648058;2.952407251;3.602204517;14.02976911;2.795860047;66.5832785;8.533972829;19.39597928;16.59455287;12.11511809;4.634488711;8.209405122;0.812197873;1.608156237;0;27.01497817;1.081150825;0.006202665
ROT-190130A;15.97300269;2.3362596;1.589707741;8.299426795;2.117287353;69.68431582;8.860930605;22.16536155;30.62848205;0;10.57479699;5.903424836;11.42738517;4.966833065;5.472785733;0;0;0.036700686
ROT-200121B;9.499312834;1.424924241;0;8.407550281;1.279476789;79.38873585;6.125010459;9.237077039;35.68030998;12.41672728;5.682820234;13.71433353;1.824758791;2.218674974;0;7.977446368;5.122841346;0.194063172
ROT-200121A;2.598229259;1.517545257;0;8.412441553;1.301011805;86.17077213;6.682642137;8.559502184;40.41896958;11.48301318;7.950372976;14.70876976;1.765547095;2.578750048;0;5.852433038;0;0.462497197
ROT-190410A;11.08083394;0;0;27.37211784;16.09878589;45.44826233;26.72246861;11.3061403;44.54744206;0;0;7.785620588;0;9.63832844;0;0;0;0.629807682
ROT-190424B;22.07559252;0;0;10.27645233;0;67.64795515;8.735154697;8.101840053;40.7615067;10.23625057;5.220704419;15.03134716;1.733013915;7.561547479;0;2.618634997;0;0.697758152
ROT-190522A;#NV;#NV;#NV;#NV;#NV;#NV;6.709592154;9.596720686;36.04102366;3.871889715;5.130643372;27.06642706;6.300752405;5.282950953;0;0;0;0.881575757
ROT-200107A;12.18382221;2.71618271;1.51124873;11.88846009;1.858869232;69.84141703;4.353583783;7.807691038;19.64321743;23.31192247;6.678576538;21.87026555;1.235129474;1.973932789;0;8.667916347;4.457764588;1.051144102
