sample;H2O_Avg.d2H_VSMOW ;H2O_SD.d2H_VSMOW ;C16.0_Avg.d2H_VSMOW ;C16.0_SD.d2H_VSMOW ;brassicasterol_Avg.d2H_VSMOW ;brassicasterol_SD.d2H_VSMOW ;ergosterol_Avg.d2H_VSMOW;ergosterol_SD.d2H_VSMOW;sitosterol_Avg.d2H_VSMOW;sitosterol_SD.d2H_VSMOW;stigmasterol_Avg.d2H_VSMOW;stigmasterol_SD.d2H_VSMOW;phytol_Avg.d2H_VSMOW ;phytol_SD.d2H_VSMOW 
ROT-190130A;-81.62694245;0.29565598;-235.022881;1.442478218;-335.5634908;8.214416975;#NV;#NV;-267;4.9;#NV;#NV;-408.609;0.2
ROT-190213A;-82.31366961;0.181709016;-282.310272;0.22208798;-324.7;2.8;#NV;#NV;-274.2;1.6;#NV;#NV;-414.464;0.816909034
ROT-190227A;-83.08241669;0.397454557;-274.8397332;0.96273974;-328.8584993;0.829334518;#NV;#NV;-264.9;13.3;#NV;#NV;-402.823;0.515520761
ROT-190313A;-82.08878507;0.447764214;-253.243416;0.280265691;#NV;#NV;#NV;#NV;-268.7;2.3;#NV;#NV;-391.598;2.1
ROT-190327A;-82.21613163;0.223360322;-240.2754801;0.838935506;-324.8;5.9;#NV;#NV;-282.3;2.1;-279;4.2;-398.044;1.059460871
ROT-190410A;-83.06436995;0.302083046;-278.3790442;0.367132048;-324.8029013;5.093582591;#NV;#NV;-260.9;0.8;-286.6;2.1;-385.204;0.2
ROT-190424A;-82.7129266;0.415400108;-269.31517;0.499147339;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV
ROT-190508A;-82.31978849;0.366061186;-236.365803;2.433822089;-356.3832613;3.259206921;#NV;#NV;#NV;#NV;#NV;#NV;-408.93;0.3
ROT-190522A;-82.46670566;0.253388207;-230.1419658;0.320637111;-348.2;1.238358869;#NV;#NV;-304.1;1.017776172;#NV;#NV;#NV;#NV
ROT-190604A;-79.93728673;0.29370904;-228.6326773;0.381177729;-319.3;0.973647425;#NV;#NV;-317.2;2.9;-330.8;2.2;-397.615;0.3
ROT-190619A;-79.67394136;0.148927275;-269.4723073;0.465953197;-356.7;8.940360347;-315.3;3.510718323;-298.1;5.21108398;-282.1;12.92634148;-401.364;1.102524213
ROT-190717A;-78.41325585;0.368777146;-210.0152392;0.241218545;-367.5;2.4;-357.2;3.767487327;-290.3;8.3;-303.1;9.5;-409.115;2.6
ROT-190731A;-78.60395656;0.215286534;-220.0936189;0.296123654;-374.2;4;-361.5;0.501088752;-330.376;5.5;-327.5;8.882909236;-389.652;0.5
ROT-190814A;-77.66956986;0.314192616;-240.6382283;0.212355415;-371.4;4.4;-335.3;12.5;-284;20.6466952;-311.7;2.3;-372.782;1.2
ROT-190828A;-76.52179509;0.207465158;-252.6589704;0.27221807;-360;1.1;-330.9;1.5;-294.609;3.510089188;-299.8;1;-407.136;0.2
ROT-190911A;-76.41141216;0.204679729;-241.5898068;0.550693889;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV
ROT-190925A;-76.84018076;0.23720306;-217.6258658;0.868332986;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;-412.386;0.3
ROT-191009A;-76.81523016;0.169465336;-222.1575686;0.414045954;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;-392.539;1.2
ROT-191023A;-76.85827139;0.194783213;-192.9945381;0.212678755;-328.7;4.9;#NV;#NV;-275.3;8;#NV;#NV;-405.193;1.4
