variable;peak_area;d2H.1H;epsilon_d2Hmeasured-d2Hreal
CholOAc;1.139;-235.629;72.50035078
CholOAc;4.743;-238.388;68.62915673
CholOAc;10.555;-254.897;45.46513259
CholOAc;7.356;-253.008;48.11561667
CholOAc;13.384;-257.907;41.2417567
CholOAc;17.074;-261.459;36.25789252
CholOAc;26.624;-268.3;26.65918339
CholOAc;30.38;-270.117;24.10972359
CholOAc;7.484;-257.57;41.71460643
CholOAc;31.899;-271.851;21.67672232
CholOAc;42.563;-278.383;12.5115757
CholOAc;61.117;-281.37;8.320471447
CholOAc;54.364;-279.841;10.46583415
CholOAc;69.981;-281.087;8.717552968
CholOAc;88.218;-283.042;5.974463309
CholOAc;103.887;-282.748;6.386979094
CholOAc;143.28;-283.867;4.816893504
CholOAc;1.734;-204.316;116.4360881
CholOAc;2.866;-218.412;96.65778027
CholOAc;4.131;-226.592;85.18030027
CholOAc;7.694;-243.561;61.37084327
CholOAc;12.578;-252.599;48.68949067
CholOAc;4.561;-233.436;75.57738179
CholOAc;9.778;-249.781;52.6434685
CholOAc;18.418;-266.227;29.56784061
CholOAc;31.046;-271.133;22.68415883
CholOAc;2.952;-215.753;100.3886628
CholOAc;23.447;-269.283;25.27992143
CholOAc;39.391;-273.835;18.89294233
CholOAc;7.762;-243.655;61.23895047
CholOAc;49.849;-275.042;17.19938263
CholOAc;84.471;-277.671;13.51059352
CholOAc;137.371;-278.172;12.80763295
StigmaOAc;1.795;-176.241;103.2796412
StigmaOAc;4.332;-200.19;71.20418694
StigmaOAc;7.788;-215.78;50.32413633
StigmaOAc;12.474;-228.355;33.48214555
StigmaOAc;7.796;-221.353;42.86008746
StigmaOAc;4.574;-204.496;65.43706071
StigmaOAc;9.624;-224.264;38.96131726
StigmaOAc;16.012;-233.505;26.58463043
StigmaOAc;24.771;-246.716;8.890830015
StigmaOAc;34.675;-251.329;2.712531526
StigmaOAc;48.582;-252.451;1.209810758
StigmaOAc;64.384;-254.865;-2.023315744
StigmaOAc;6.966;-215.484;50.72057604
StigmaOAc;107.835;-260.556;-9.645404775
StigmaOAc;40.298;-252.747;0.813371054
