sample;epsilon_C16.0_phytol;epsilon_C16.0_sterol;epsilon_sterol_phytol
ROT190130A;293.5207676;112.0894749;163.1445102
ROT190213A;225.6963705;19.611416;202.1210741
ROT190227A;214.3128078;9.589980548;202.7781884
ROT190313A;227.4059627;21.08748218;202.0575946
ROT190327A;262.0938515;62.65326129;187.6817185
ROT190410A;173.757444;4.258795204;168.7798499
ROT190424A;#NV;#NV;#NV
ROT190508A;291.9518295;186.4734883;88.90071487
ROT190522A;#NV;144.5527945;#NV
ROT190604A;280.5215493;139.0632826;124.1882421
ROT190619A;220.3210671;57.33854588;154.1441215
ROT190717A;336.9510406;174.7881292;138.0358785
ROT190729A;277.8070508;188.5462613;75.10081217
ROT190814A;210.6817985;125.1458833;76.02206656
ROT190911A;#NV;#NV;#NV
ROT190925A;331.4431362;#NV;#NV
ROT191009A;280.4806113;#NV;#NV
ROT191023A;356.7516801;131.4673604;199.108103
ROT191106A;#NV;#NV;#NV
ROT191120A;#NV;#NV;#NV
ROT191204A;#NV;#NV;#NV
ROT191218A;306.9256401;#NV;#NV
ROT200107A;215.1969888;64.59673443;141.4622547
ROT200121A;252.7775024;22.24189359;225.5196253
ROT200206A;255.8622539;42.94578766;204.1491214
ROT190130B;302.7977215;79.64118029;206.6950995
ROT190213B;236.7476753;36.86226154;192.7791387
ROT190313B;218.4729705;29.01684534;184.1137256
ROT190327B;#NV;#NV;#NV
ROT190410B;209.5371898;22.50841246;182.9117248
ROT190424B;253.587262;81.17590794;159.4665149
ROT190508B;319.5882202;181.0571724;117.2941083
ROT190522B;301.9262377;116.7792589;165.7865485
ROT190604B;382.2294626;223.3913017;129.8343062
ROT190619B;267.5126449;58.14990724;197.857351
ROT190717B;207.9817092;#NV;#NV
ROT190729B;302.8812148;#NV;#NV
ROT190814B;304.9263551;116.384337;168.8862983
ROT190911B;250.4026848;#NV;#NV
ROT190925B;223.1253615;#NV;#NV
ROT191009B;168.2646617;#NV;#NV
ROT191023B;219.6330054;-17.71847913;257.6379951
ROT191106B;184.4922005;#NV;#NV
ROT191120B;163.0652831;#NV;#NV
ROT191204B;#NV;#NV;#NV
ROT191218B;165.7182901;-33.01085805;205.5133192
ROT200107B;251.8567341;58.50697441;182.6627168
ROT200121B;260.9310779;79.6544869;167.9024106
ROT200206B;291.4798366;42.6887151;238.6053651
