sample;cyanobacteria_relBio;green.algae_relBio;Chrysophyta_relBio;Diatoms_relBio;Dinoflagellates_relBio;Cryptophyceae_relBio
ROT-190130A;0.036700686;7.281652299;0.344092868;83.99657324;0.197290123;8.143690782
ROT-190213A;0.003349065;9.805043634;11.96769521;52.46284431;2.536844086;23.2242237
ROT-190227A;0;56.12308771;9.323771763;14.82099861;10.65439322;9.077748691
ROT-190313A;0;14.83611118;38.18969495;31.78650632;4.809265461;10.37842208
ROT-190327A;0;14.4082632;53.96532463;15.93093756;0.199545142;15.49592947
ROT-190410A;0.629807682;8.229644176;74.69651608;8.941568282;0;7.502463779
ROT-190424A;7.177268705;12.83434227;11.57726683;28.94316708;26.31197007;13.15598504
ROT-190508A;9.243505753;13.73814413;0;12.21168367;0;64.80666645
ROT-190522A;0.881575757;6.972880941;14.84139174;62.49802284;0;14.80612871
ROT-190611A;0;16.62735243;73.15445726;2.432265661;2.77117774;5.014746906
ROT-190619A;3.172062899;16.71076268;18.37871888;14.08707934;0;47.6513762
ROT-190717A;7.499311504;40.84784387;17.56113997;0.566937458;2.494524817;31.03024238
ROT-190731A;3.429841713;21.0379104;15.46703034;0.592044365;0;59.47317318
ROT-190814A;30.75324448;30.08310854;0;11.39232381;20.09937158;7.67195159
ROT-190911A;49.34120829;21.22251594;8.685371292;10.61125797;0;10.1396465
ROT-190925A;37.90508852;12.17695773;25.69276376;5.434075151;18.66667037;0.124444469
ROT-191009A;45.23177677;10.03085408;27.32539066;5.379754151;0;12.03222435
ROT-191023A;26.52912846;38.87975329;1.68344418;32.90767407;0;0
ROT-191106A;24.23197589;0;18.13022968;17.75396716;0;39.88382727
ROT-191120A;12.81444735;9.324155089;25.05519856;3.576799339;0;49.22939966
ROT-191204A;12.42804037;1.511135756;73.93395943;1.511135756;0;10.61572869
ROT-191218A;0;16.91707761;36.066642;10.9672865;0;36.04899389
ROT-200107A;1.051144102;0;65.90673518;7.87133265;0.706323134;24.46446493
ROT-200121A;0.462497197;7.963057831;19.88737946;38.38726734;1.271867291;32.02793088
ROT-200206A;0.006202665;1.647127537;7.950889023;82.80557339;0;7.590207383
ROT-190130B;0;4.386776646;0;85.34962073;0;10.26360262
ROT-190213B;0.004861244;5.549977101;13.37763745;65.15781248;0.783970778;15.12574095
ROT-190313B;0;15.65733223;25.22132868;43.04382916;2.241287264;13.83622266
ROT-190327B;0.039147567;10.7189313;49.06102415;23.92747014;2.928745691;13.32468115
ROT-190410B;0;9.026670394;64.25847439;7.369182079;0;19.34567314
ROT-190424B;0.697758152;13.28968551;15.92883363;37.6789402;5.814651266;26.59013123
ROT-190508B;10.48881099;27.87600051;31.10492941;0;0;30.53025909
ROT-190522B;3.722461362;1.606478118;6.801380087;74.64721256;0;13.22246787
ROT-190611B;0;7.218908023;8.04161808;70.7463802;0;13.9930937
ROT-190619B;2.03157701;19.87203436;10.07139419;54.96442906;0;13.06056538
ROT-190717B;83.05944807;12.73278417;2.127938838;0;0;2.079828916
ROT-190731B;70.91248309;10.06842609;5.011320513;3.581809213;0;10.4259611
ROT-190814B;12.81871252;4.137417033;0.282811943;1.079827418;74.55951216;7.121718921
ROT-190911B;60.97136043;3.066195431;19.40477454;1.505242691;0;15.05242691
ROT-190925B;60.76687266;7.837769625;2.577558325;8.943454982;0;19.87434441
ROT-191009B;50.73719411;9.300005602;0.359441646;5.660033825;10.97859809;22.96472673
ROT-191023B;91.31431311;0.667959969;1.192785659;4.439369941;0;2.385571318
ROT-191106B;45.1408269;0;0.963191027;1.765152251;0;52.13082982
ROT-191120B;12.29165097;3.569338745;42.83206494;3.895363755;0;37.41158159
ROT-191204B;11.07028865;6.844049698;59.72602376;4.322378716;0;18.03725918
ROT-191218B;30.5516662;2.650523824;42.8347698;1.457211902;0;22.50582827
ROT-200107B;1.487183512;0;47.99637409;22.50572921;0;28.01071319
ROT-200121B;0.194063172;3.166293855;32.73157636;30.81518891;0;33.09287771
ROT-200206B;0;8.68629036;10.57370886;76.82202777;0.545540546;3.372432465
