depth_m;temp_C;DO_mgL
0;21.2627;7.433
0;24.8545;7.991
0;24.7785;8.0028
0.0089;24.7785;8.0023
0.0179;24.7791;8.0066
0.0449;24.897;9.7638
0.0987;24.8958;9.7862
0.0987;24.897;9.6731
0.0538;24.8993;9.5555
0.0449;24.9023;9.3458
0.0987;24.9017;9.3479
0.1347;24.9011;9.3853
0.1257;24.9005;9.2725
0.1257;24.8999;9.2721
0.1257;24.8999;9.1505
0.1796;24.9011;9.2496
0.1975;24.9011;9.2623
0.2155;24.9005;9.2129
0.2155;24.904;9.132
0.1886;24.9029;9.1834
0.1706;24.9023;9.1879
0.1886;24.9011;9.0682
0.2155;24.9011;9.0302
0.2155;24.9011;9.0235
0.2155;24.9029;9.1003
0.2245;24.9011;9.2276
0.2335;24.897;9.1332
0.2335;24.8934;9.004
0.2335;24.8917;8.9717
0.2155;24.8887;9.0184
0.1975;24.8905;9.1659
0.2065;24.8928;9.2436
0.2335;24.8893;9.1454
0.2694;24.8869;8.9922
0.2784;24.8852;9.0185
0.2694;24.8875;9.0314
0.2874;24.8875;8.9993
0.3053;24.8858;9.0095
0.3143;24.8822;8.9982
0.3323;24.8781;9.0113
0.3323;24.8752;9.0152
0.3323;24.8763;8.9843
0.3682;24.8816;8.9966
0.3592;24.8864;8.9879
0.3772;24.8887;8.9719
0.4041;24.8893;9.0042
0.4041;24.8887;9.0557
0.44;24.8893;9.0415
0.4311;24.8905;9.0413
0.449;24.8911;9.0266
0.467;24.8923;8.9941
0.458;24.8917;9.0411
0.458;24.8917;9.1183
0.467;24.8946;9.057
0.476;24.8952;9.0126
0.5029;24.8934;9.0191
0.5478;24.8958;9.3237
0.6197;24.8964;9.4346
0.6197;24.8976;9.357
0.6017;24.897;9.4051
0.6107;24.8987;9.405
0.6197;24.897;9.2966
0.6286;24.8958;9.1611
0.6825;24.894;9.1156
0.6736;24.8952;9.2897
0.6736;24.894;9.1836
0.6915;24.8928;9.0746
0.7185;24.894;9.0625
0.7364;24.8952;9.1392
0.7364;24.8952;9.3545
0.7185;24.8934;9.534
0.7185;24.8928;9.5457
0.7274;24.8905;9.4866
0.7364;24.8917;9.4508
0.7095;24.8911;9.4353
0.7185;24.8923;9.4484
0.7185;24.8946;9.4985
0.7274;24.8946;9.5469
0.7185;24.8952;9.5038
0.7454;24.894;9.4837
0.7454;24.8893;9.4453
0.7454;24.8875;9.4339
0.7544;24.8852;9.4588
0.7454;24.8869;9.2753
0.7544;24.8846;9.252
0.7544;24.8875;9.1958
0.7723;24.8852;9.1364
0.7993;24.8858;9.118
0.8172;24.8864;9.1553
0.7993;24.884;9.1767
0.7903;24.8834;9.1441
0.8083;24.8828;9.1109
0.8262;24.8834;9.0969
0.8442;24.884;9.0998
0.8352;24.8858;9.1183
0.8532;24.8828;9.1156
0.8622;24.884;9.1057
0.8801;24.884;9.0738
0.8981;24.8828;9.0799
0.934;24.8822;9.1072
0.943;24.8822;9.128
0.9699;24.8822;9.1159
0.9969;24.8834;9.1283
1.0148;24.8828;9.1618
1.0238;24.8822;9.1693
1.0508;24.8816;9.1946
1.0508;24.8811;9.1838
1.0687;24.8822;9.2393
1.0597;24.8828;9.4632
1.0418;24.8811;9.5599
1.0597;24.8816;9.3393
1.0867;24.8793;9.126
1.1226;24.8811;9.0951
1.1226;24.8799;9.1207
1.1316;24.8793;9.1485
1.1316;24.8793;9.2759
1.1406;24.8787;9.2928
1.1585;24.8793;9.1955
1.1855;24.8787;9.0871
1.2124;24.8775;9.0927
1.2034;24.8793;9.1043
1.2214;24.8775;9.1622
1.2214;24.8787;9.2302
1.2573;24.8787;9.115
1.2932;24.8793;9.0803
1.3202;24.8781;9.0773
1.3741;24.8787;9.1182
1.3651;24.8769;9.2647
1.3651;24.8757;9.2609
1.392;24.8775;9.1914
1.41;24.8763;9.2922
1.401;24.8769;9.2367
1.4279;24.8769;9.117
1.4459;24.8781;9.105
1.4729;24.8769;9.1118
1.4998;24.8769;9.2061
1.5267;24.8763;9.2109
1.5357;24.8752;9.1082
1.5627;24.8757;9.1331
1.5896;24.8763;9.3078
1.6076;24.8752;9.3167
1.6435;24.8775;9.1439
1.6884;24.8781;9.0985
1.7243;24.8781;9.145
1.7423;24.8781;9.1139
1.7962;24.8769;9.1178
1.8051;24.8769;9.1685
1.8321;24.8769;9.3433
1.8321;24.8775;9.5175
1.868;24.8775;9.479
1.877;24.8775;9.3622
1.9219;24.8763;9.1842
1.9309;24.8775;9.2811
1.9398;24.8769;9.2172
1.9758;24.8763;9.1394
1.9847;24.8763;9.3407
1.9847;24.8775;9.3323
2.0207;24.8769;9.3878
2.0207;24.8752;9.3471
2.0476;24.8763;9.4735
2.0476;24.8763;9.5046
2.0745;24.8763;9.4999
2.0835;24.8757;9.4746
2.0925;24.8769;9.7726
2.1015;24.8775;10.0858
2.0835;24.8775;10.1607
2.1105;24.8793;9.8973
2.1284;24.8757;9.706
2.1284;24.8752;9.8854
2.1284;24.8763;9.9661
2.1015;24.874;9.9136
2.1015;24.8775;9.9263
2.1015;24.8757;10.0772
2.0925;24.8787;10.2409
2.1015;24.8763;10.1422
2.1015;24.8781;9.8847
2.1194;24.8775;9.7747
2.1554;24.8781;9.5968
2.1554;24.8781;9.4259
2.1643;24.8769;9.2817
2.1913;24.8746;9.2438
2.2003;24.8728;9.2152
2.2092;24.874;9.2038
2.2272;24.874;9.2115
2.2182;24.8757;9.2525
2.2362;24.874;9.2516
2.2901;24.8757;9.1462
2.2901;24.8769;9.2093
2.299;24.8775;9.2544
2.326;24.8763;9.3202
2.317;24.8775;9.4552
2.326;24.8752;9.3748
2.335;24.8763;9.3758
2.3529;24.8757;9.2483
2.3978;24.8769;9.1645
2.4158;24.8746;9.2164
2.4158;24.8752;9.2996
2.4248;24.8734;9.542
2.4337;24.8752;9.556
2.4337;24.8752;9.356
2.4337;24.8752;9.4425
2.4337;24.8757;9.502
2.4337;24.8752;9.584
2.4248;24.8769;9.6992
2.4158;24.8781;9.7229
2.4158;24.8757;9.6051
2.4427;24.8769;9.4494
2.4337;24.8757;9.4907
2.4158;24.874;9.8132
2.4158;24.8757;10.0525
2.4337;24.8734;9.6303
2.4427;24.8757;9.3529
2.4786;24.8752;9.24
2.4786;24.8775;9.2942
2.4697;24.8769;9.6146
2.4697;24.8769;9.554
2.4966;24.8757;9.296
2.5235;24.8763;9.15
2.5415;24.8752;9.1473
2.5684;24.8746;9.1476
2.5774;24.8746;9.3452
2.6044;24.874;9.2775
2.6223;24.8746;9.1884
2.6493;24.8763;9.1204
2.6942;24.8746;9.1355
2.7211;24.8769;9.1267
2.748;24.8746;9.1956
2.757;24.8752;9.194
2.775;24.8746;9.1867
2.8109;24.8757;9.3126
2.8019;24.874;9.278
2.8289;24.8746;9.1736
2.8648;24.8763;9.1312
2.8827;24.8763;9.2707
2.9097;24.8757;9.3133
2.9097;24.8757;9.319
2.9366;24.8752;9.2823
2.9456;24.8746;9.2376
2.9456;24.8746;9.2797
2.9636;24.874;9.3315
2.9725;24.8728;9.3885
2.9725;24.8746;9.3314
2.9995;24.8734;9.2116
3.0085;24.874;9.2862
3.0444;24.874;9.215
3.0713;24.874;9.1611
3.0983;24.8746;9.1679
3.1252;24.8734;9.3021
3.1342;24.8728;9.3784
3.1521;24.8722;9.3543
3.1611;24.8734;9.5279
3.1521;24.871;9.555
3.1881;24.8716;9.6291
3.1611;24.871;9.971
3.1611;24.8722;9.8929
3.1701;24.871;9.8343
3.1881;24.871;9.7215
3.206;24.8728;9.4212
3.224;24.8716;9.2928
3.206;24.8716;9.4412
3.224;24.8728;9.273
3.2779;24.871;9.1747
3.2958;24.8716;9.2663
3.3138;24.8699;9.4168
3.3317;24.8693;9.3822
3.3317;24.871;9.4536
3.3676;24.8704;9.292
3.3856;24.8687;9.302
3.3766;24.8663;9.4661
3.3676;24.864;9.5731
3.3946;24.8657;9.5411
3.4215;24.8663;9.4003
3.4395;24.8675;9.2796
3.4574;24.8693;9.262
3.4664;24.8651;9.3132
3.5023;24.8569;9.2951
3.5293;24.8551;9.2855
3.5113;24.8604;9.3271
3.5293;24.8575;9.4733
3.5383;24.8616;9.6475
3.5203;24.861;9.7324
3.5203;24.864;9.8882
3.5293;24.8645;10.0459
3.5113;24.8651;10.3001
3.5203;24.8663;10.2447
3.5383;24.864;9.8027
3.5472;24.8539;9.6004
3.5742;24.8451;9.4399
3.5652;24.8504;9.4766
3.5832;24.8463;9.4357
3.6011;24.8504;9.3595
3.6101;24.8469;9.3406
3.628;24.8433;9.2764
3.664;24.8363;9.3073
3.6819;24.831;9.351
3.7089;24.8292;9.4471
3.7178;24.8304;9.4991
3.7089;24.828;9.3904
3.7178;24.8292;9.4546
3.7448;24.8251;9.287
3.7538;24.7991;9.3353
3.7627;24.7726;9.4794
3.7717;24.7573;9.545
3.8166;24.7154;9.3592
3.8436;24.6807;9.3569
3.8525;24.6435;9.3214
3.8705;24.6076;9.4163
3.8795;24.5528;9.4259
3.8974;24.4785;9.3549
3.9154;24.3918;9.4227
3.9423;24.3883;9.842
3.9423;24.3936;9.9818
3.9693;24.3889;9.7653
3.9872;24.3359;9.5927
4.0052;24.2852;9.5934
4.0052;24.2368;9.6361
4.0142;24.2268;9.9506
4.0231;24.2303;10.0701
4.0321;24.2303;9.8428
4.0591;24.2156;9.7337
4.0411;24.1973;9.8978
4.0591;24.2003;10.1727
4.0501;24.1932;10.0463
4.077;24.1749;9.9962
4.095;24.1602;9.9438
4.1309;24.1431;9.9227
4.1309;24.1219;9.9547
4.1668;24.103;10.0631
4.1848;24.08;10.1505
4.1848;24.063;10.3501
4.1848;24.0482;10.4394
4.1937;24.0406;10.5052
4.2207;24.0146;10.4571
4.2207;23.9969;10.5189
4.2566;23.961;10.4782
4.2745;23.9451;10.6849
4.2656;23.9168;10.6377
4.2745;23.905;10.7675
4.3105;23.8643;10.5789
4.3284;23.8101;10.6884
4.3464;23.8018;10.9779
