ID;Compound;d2H;Pond;Season;Type;ZooType
F1;C16:0;-165.8;Jag;June;Seston;Seston
F10;C16:0;-267.7;Eng;June;Seston;Seston
F100;C16:0;-230.9;NL;September;Seston;Seston
F101;C16:0;-230.2;NL;September;Seston;Seston
f102;C16:0;-234.3;NL;September;Seston;Seston
F103;C16:0;-260.5;Durn;September;Seston;Seston
F104;C16:0;-270;Durn;September;Seston;Seston
f105;C16:0;-275;Durn;September;Seston;Seston
F106;C16:0;-227;Kieb;September;Seston;Seston
F107;C16:0;-236.3;Kieb;September;Seston;Seston
f108;C16:0;-230.9;Kieb;September;Seston;Seston
F11;C16:0;-263.1;Eng;June;Seston;Seston
f12;C16:0;-225.1;Eng;June;Seston;Seston
F13;C16:0;-182;Dach;June;Seston;Seston
F14;C16:0;-178.6;Dach;June;Seston;Seston
f15;C16:0;-141.6;Dach;June;Seston;Seston
F16;C16:0;-176.9;Ger;June;Seston;Seston
F17;C16:0;-175.2;Ger;June;Seston;Seston
f18;C16:0;-170.1;Ger;June;Seston;Seston
F19;C16:0;-192.4;NL;June;Seston;Seston
F2;C16:0;-156.3;Jag;June;Seston;Seston
F20;C16:0;-176.4;NL;June;Seston;Seston
f21;C16:0;-202;NL;June;Seston;Seston
F22;C16:0;-208.3;Durn;June;Seston;Seston
F23;C16:0;-209.9;Durn;June;Seston;Seston
f24;C16:0;-173.5;Durn;June;Seston;Seston
F25;C16:0;-210.1;Kieb;June;Seston;Seston
F26;C16:0;-210.1;Kieb;June;Seston;Seston
f27;C16:0;-176.4;Kieb;June;Seston;Seston
F28;C16:0;-188.3;Jag;July;Seston;Seston
F29;C16:0;-208.6;Jag;July;Seston;Seston
f3;C16:0;-159.4;Jag;June;Seston;Seston
f30;C16:0;-205.7;Jag;July;Seston;Seston
F31;C16:0;-226.5;Herr;July;Seston;Seston
F32;C16:0;-210.9;Herr;July;Seston;Seston
f33;C16:0;-222.9;Herr;July;Seston;Seston
F34;C16:0;-228.2;Stadt;July;Seston;Seston
F35;C16:0;-230.8;Stadt;July;Seston;Seston
f36;C16:0;-229.9;Stadt;July;Seston;Seston
F37;C16:0;-194.5;Eng;July;Seston;Seston
F38;C16:0;-190.5;Eng;July;Seston;Seston
f39;C16:0;-190.5;Eng;July;Seston;Seston
F4;C16:0;-174.2;Herr;June;Seston;Seston
F40;C16:0;-216.9;Dach;July;Seston;Seston
F41;C16:0;-230.8;Dach;July;Seston;Seston
f42;C16:0;-222.5;Dach;July;Seston;Seston
F43;C16:0;-223.9;Ger;July;Seston;Seston
F44;C16:0;-230.3;Ger;July;Seston;Seston
f45;C16:0;-225.9;Ger;July;Seston;Seston
F46;C16:0;-216.5;NL;July;Seston;Seston
